date,value
2022-11-03,0 days 04:42:00
2022-11-04,0 days 02:47:00
2022-11-05,0 days 01:40:00
2022-11-06,0 days 01:26:00
2022-11-07,0 days 04:56:00
2022-11-08,0 days 02:47:00
2022-11-09,0 days 02:42:00
2022-11-10,0 days 02:44:00
2022-11-11,0 days 04:13:00
2022-11-12,0 days 01:40:00
2022-11-13,0 days 04:43:00
2022-11-14,0 days 04:38:00
2022-11-15,0 days 02:48:00
2022-11-16,0 days 02:42:00
2022-11-17,0 days 03:41:00
2022-11-18,0 days 01:31:00
2022-11-19,0 days 03:49:00
2022-11-20,0 days 03:22:00
2022-11-21,0 days 03:29:00
2022-11-22,0 days 03:23:00
2022-11-23,0 days 03:41:00
2022-11-24,0 days 03:42:00
2022-11-25,0 days 03:22:00
2022-11-26,0 days 03:53:00
2022-11-27,0 days 02:08:00
2022-11-28,0 days 03:57:00
2022-11-29,0 days 02:44:00
2022-11-30,0 days 03:17:00
2022-12-01,0 days 04:34:00
2022-12-02,0 days 02:51:00
2022-12-03,0 days 01:36:00
